#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: ip.endToEnd.packet.outgoing.delay_PDF
#  Description: No descripton available
# ---------------------------------------------------------------------------
#  No active probe
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0001218
#  Maximum: 0.1243653
#  Trials: 13776
#  Mean: 0.0272886
# 
#  Variance: 0.0003143
#  Relative variance: 0.4220503
#  Coefficient of variation: 0.6496540
#  Standard deviation: 0.0177282
#  Relative standard deviation: 0.6496540
# 
#  Skewness: 0.8340088
# 
#  2nd moment: 0.0010589
#  3rd moment: 0.0000507
# 
#  Sum of all values: 375.9283677
#  (Sum of all values)^2: 14.5878965
#  (Sum of all values)^3: 0.6983821
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 1
#  Resolution of x-axis: 1000
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# 
# x             F(x)            G(x)            P(x)
# 
0.0000000           0.0406504       0.9593496       0.0406504
0.0010000           0.0609756       0.9390244       0.0203252
0.0020000           0.0724448       0.9275552       0.0114692
0.0030000           0.0731707       0.9268293       0.0007259
0.0040000           0.0755662       0.9244338       0.0023955
0.0050000           0.0797038       0.9202962       0.0041376
0.0060000           0.0865273       0.9134727       0.0068235
0.0070000           0.0995935       0.9004065       0.0130662
0.0080000           0.1196283       0.8803717       0.0200348
0.0090000           0.1501887       0.8498113       0.0305604
0.0100000           0.1859756       0.8140244       0.0357869
0.0110000           0.2308362       0.7691638       0.0448606
0.0120000           0.2646632       0.7353368       0.0338269
0.0130000           0.2688008       0.7311992       0.0041376
0.0140000           0.2744628       0.7255372       0.0056620
0.0150000           0.2837544       0.7162456       0.0092915
0.0160000           0.2981272       0.7018728       0.0143728
0.0170000           0.3151858       0.6848142       0.0170587
0.0180000           0.3371806       0.6628194       0.0219948
0.0190000           0.3675958       0.6324042       0.0304152
0.0200000           0.4074477       0.5925523       0.0398519
0.0210000           0.4661005       0.5338995       0.0586527
0.0220000           0.5046458       0.4953542       0.0385453
0.0230000           0.5087834       0.4912166       0.0041376
0.0240000           0.5147358       0.4852642       0.0059524
0.0250000           0.5220674       0.4779326       0.0073316
0.0260000           0.5323026       0.4676974       0.0102352
0.0270000           0.5455865       0.4544135       0.0132840
0.0280000           0.5644599       0.4355401       0.0188734
0.0290000           0.5912456       0.4087544       0.0267857
0.0300000           0.6263792       0.3736208       0.0351336
0.0310000           0.6754501       0.3245499       0.0490708
0.0320000           0.7077526       0.2922474       0.0323026
0.0330000           0.7131243       0.2868757       0.0053717
0.0340000           0.7198026       0.2801974       0.0066783
0.0350000           0.7262631       0.2737369       0.0064605
0.0360000           0.7342480       0.2657520       0.0079849
0.0370000           0.7445557       0.2554443       0.0103078
0.0380000           0.7577671       0.2422329       0.0132114
0.0390000           0.7721400       0.2278600       0.0143728
0.0400000           0.7923926       0.2076074       0.0202526
0.0410000           0.8193961       0.1806039       0.0270035
0.0420000           0.8395035       0.1604965       0.0201074
0.0430000           0.8449477       0.1550523       0.0054443
0.0440000           0.8487224       0.1512776       0.0037747
0.0450000           0.8514808       0.1485192       0.0027584
0.0460000           0.8551103       0.1448897       0.0036295
0.0470000           0.8606272       0.1393728       0.0055168
0.0480000           0.8675232       0.1324768       0.0068961
0.0490000           0.8769599       0.1230401       0.0094367
0.0500000           0.8871951       0.1128049       0.0102352
0.0510000           0.9037456       0.0962544       0.0165505
0.0520000           0.9176103       0.0823897       0.0138647
0.0530000           0.9218206       0.0781794       0.0042102
0.0540000           0.9252323       0.0747677       0.0034117
0.0550000           0.9278455       0.0721545       0.0026132
0.0560000           0.9306765       0.0693235       0.0028310
0.0570000           0.9348868       0.0651132       0.0042102
0.0580000           0.9387340       0.0612660       0.0038473
0.0590000           0.9439605       0.0560395       0.0052265
0.0600000           0.9507840       0.0492160       0.0068235
0.0610000           0.9592044       0.0407956       0.0084204
0.0620000           0.9658827       0.0341173       0.0066783
0.0630000           0.9681330       0.0318670       0.0022503
0.0640000           0.9695122       0.0304878       0.0013792
0.0650000           0.9709640       0.0290360       0.0014518
