# PROBE TEXT RESULT (THIS IS A MAGIC LINE)
# -------------------------------------
# Text file of data, any style 
# -------------------------------------
#        Name: 
# Description: 
# -------------------------------------
# Fri Nov 20 08:51:48 2009
1.000000	8580000.00
1.000000	8568000.00
2.000000	8568000.00
2.000000	8532000.00
3.000000	8124000.00
3.000000	8316000.00
4.000000	8088000.00
4.000000	7212000.00
5.000000	7848000.00
5.000000	8760000.00
6.000000	8376000.00
6.000000	5580000.00
7.000000	8352000.00
7.000000	10068000.00
8.000000	7716000.00
8.000000	7020000.00
9.000000	8856000.00
9.000000	9720000.00
