#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: ip.hop.packet.incoming.size_PDF
#  Description: No descripton available
# ---------------------------------------------------------------------------
#  No active probe
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 12160.0000000
#  Maximum: 12160.0000000
#  Trials: 25650
#  Mean: 12160.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 147865600.0000000
#  3rd moment: 1798045696000.0000000
# 
#  Sum of all values: 311904000.0000000
#  (Sum of all values)^2: 3792752640000.0000000
#  (Sum of all values)^3: 46119872102400000.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 16000
#  Resolution of x-axis: 2000
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# 
# x             F(x)            G(x)            P(x)
# 
0.0000000           0.0000000       1.0000000       0.0000000
8.0000000           0.0000000       1.0000000       0.0000000
16.0000000          0.0000000       1.0000000       0.0000000
24.0000000          0.0000000       1.0000000       0.0000000
32.0000000          0.0000000       1.0000000       0.0000000
40.0000000          0.0000000       1.0000000       0.0000000
48.0000000          0.0000000       1.0000000       0.0000000
56.0000000          0.0000000       1.0000000       0.0000000
64.0000000          0.0000000       1.0000000       0.0000000
72.0000000          0.0000000       1.0000000       0.0000000
80.0000000          0.0000000       1.0000000       0.0000000
88.0000000          0.0000000       1.0000000       0.0000000
96.0000000          0.0000000       1.0000000       0.0000000
104.0000000         0.0000000       1.0000000       0.0000000
112.0000000         0.0000000       1.0000000       0.0000000
120.0000000         0.0000000       1.0000000       0.0000000
128.0000000         0.0000000       1.0000000       0.0000000
136.0000000         0.0000000       1.0000000       0.0000000
144.0000000         0.0000000       1.0000000       0.0000000
152.0000000         0.0000000       1.0000000       0.0000000
160.0000000         0.0000000       1.0000000       0.0000000
168.0000000         0.0000000       1.0000000       0.0000000
176.0000000         0.0000000       1.0000000       0.0000000
184.0000000         0.0000000       1.0000000       0.0000000
192.0000000         0.0000000       1.0000000       0.0000000
200.0000000         0.0000000       1.0000000       0.0000000
208.0000000         0.0000000       1.0000000       0.0000000
216.0000000         0.0000000       1.0000000       0.0000000
224.0000000         0.0000000       1.0000000       0.0000000
232.0000000         0.0000000       1.0000000       0.0000000
240.0000000         0.0000000       1.0000000       0.0000000
248.0000000         0.0000000       1.0000000       0.0000000
256.0000000         0.0000000       1.0000000       0.0000000
264.0000000         0.0000000       1.0000000       0.0000000
272.0000000         0.0000000       1.0000000       0.0000000
280.0000000         0.0000000       1.0000000       0.0000000
288.0000000         0.0000000       1.0000000       0.0000000
296.0000000         0.0000000       1.0000000       0.0000000
304.0000000         0.0000000       1.0000000       0.0000000
312.0000000         0.0000000       1.0000000       0.0000000
320.0000000         0.0000000       1.0000000       0.0000000
328.0000000         0.0000000       1.0000000       0.0000000
336.0000000         0.0000000       1.0000000       0.0000000
344.0000000         0.0000000       1.0000000       0.0000000
352.0000000         0.0000000       1.0000000       0.0000000
360.0000000         0.0000000       1.0000000       0.0000000
368.0000000         0.0000000       1.0000000       0.0000000
376.0000000         0.0000000       1.0000000       0.0000000
384.0000000         0.0000000       1.0000000       0.0000000
392.0000000         0.0000000       1.0000000       0.0000000
400.0000000         0.0000000       1.0000000       0.0000000
408.0000000         0.0000000       1.0000000       0.0000000
416.0000000         0.0000000       1.0000000       0.0000000
424.0000000         0.0000000       1.0000000       0.0000000
432.0000000         0.0000000       1.0000000       0.0000000
440.0000000         0.0000000       1.0000000       0.0000000
448.0000000         0.0000000       1.0000000       0.0000000
456.0000000         0.0000000       1.0000000       0.0000000
464.0000000         0.0000000       1.0000000       0.0000000
472.0000000         0.0000000       1.0000000       0.0000000
480.0000000         0.0000000       1.0000000       0.0000000
488.0000000         0.0000000       1.0000000       0.0000000
496.0000000         0.0000000       1.0000000       0.0000000
504.0000000         0.0000000       1.0000000       0.0000000
512.0000000         0.0000000       1.0000000       0.0000000
520.0000000         0.0000000       1.0000000       0.0000000
528.0000000         0.0000000       1.0000000       0.0000000
536.0000000         0.0000000       1.0000000       0.0000000
544.0000000         0.0000000       1.0000000       0.0000000
552.0000000         0.0000000       1.0000000       0.0000000
560.0000000         0.0000000       1.0000000       0.0000000
568.0000000         0.0000000       1.0000000       0.0000000
576.0000000         0.0000000       1.0000000       0.0000000
584.0000000         0.0000000       1.0000000       0.0000000
592.0000000         0.0000000       1.0000000       0.0000000
600.0000000         0.0000000       1.0000000       0.0000000
608.0000000         0.0000000       1.0000000       0.0000000
616.0000000         0.0000000       1.0000000       0.0000000
624.0000000         0.0000000       1.0000000       0.0000000
632.0000000         0.0000000       1.0000000       0.0000000
640.0000000         0.0000000       1.0000000       0.0000000
648.0000000         0.0000000       1.0000000       0.0000000
656.0000000         0.0000000       1.0000000       0.0000000
664.0000000         0.0000000       1.0000000       0.0000000
672.0000000         0.0000000       1.0000000       0.0000000
680.0000000         0.0000000       1.0000000       0.0000000
688.0000000         0.0000000       1.0000000       0.0000000
696.0000000         0.0000000       1.0000000       0.0000000
704.0000000         0.0000000       1.0000000       0.0000000
712.0000000         0.0000000       1.0000000       0.0000000
720.0000000         0.0000000       1.0000000       0.0000000
728.0000000         0.0000000       1.0000000       0.0000000
736.0000000         0.0000000       1.0000000       0.0000000
744.0000000         0.0000000       1.0000000       0.0000000
752.0000000         0.0000000       1.0000000       0.0000000
760.0000000         0.0000000       1.0000000       0.0000000
768.0000000         0.0000000       1.0000000       0.0000000
776.0000000         0.0000000       1.0000000       0.0000000
784.0000000         0.0000000       1.0000000       0.0000000
792.0000000         0.0000000       1.0000000       0.0000000
800.0000000         0.0000000       1.0000000       0.0000000
808.0000000         0.0000000       1.0000000       0.0000000
816.0000000         0.0000000       1.0000000       0.0000000
824.0000000         0.0000000       1.0000000       0.0000000
832.0000000         0.0000000       1.0000000       0.0000000
840.0000000         0.0000000       1.0000000       0.0000000
848.0000000         0.0000000       1.0000000       0.0000000
856.0000000         0.0000000       1.0000000       0.0000000
864.0000000         0.0000000       1.0000000       0.0000000
872.0000000         0.0000000       1.0000000       0.0000000
880.0000000         0.0000000       1.0000000       0.0000000
888.0000000         0.0000000       1.0000000       0.0000000
896.0000000         0.0000000       1.0000000       0.0000000
904.0000000         0.0000000       1.0000000       0.0000000
912.0000000         0.0000000       1.0000000       0.0000000
920.0000000         0.0000000       1.0000000       0.0000000
928.0000000         0.0000000       1.0000000       0.0000000
936.0000000         0.0000000       1.0000000       0.0000000
944.0000000         0.0000000       1.0000000       0.0000000
952.0000000         0.0000000       1.0000000       0.0000000
960.0000000         0.0000000       1.0000000       0.0000000
968.0000000         0.0000000       1.0000000       0.0000000
976.0000000         0.0000000       1.0000000       0.0000000
984.0000000         0.0000000       1.0000000       0.0000000
992.0000000         0.0000000       1.0000000       0.0000000
1000.0000000        0.0000000       1.0000000       0.0000000
1008.0000000        0.0000000       1.0000000       0.0000000
1016.0000000        0.0000000       1.0000000       0.0000000
1024.0000000        0.0000000       1.0000000       0.0000000
1032.0000000        0.0000000       1.0000000       0.0000000
