#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: traffic.endToEnd.packet.incoming.delay_PDF
#  Description: end to end packet delay [s]
# ---------------------------------------------------------------------------
#  No active probe
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0031517
#  Maximum: 0.3592691
#  Trials: 25650
#  Mean: 0.2373223
# 
#  Variance: 0.0032431
#  Relative variance: 0.0575807
#  Coefficient of variation: 0.2399598
#  Standard deviation: 0.0569478
#  Relative standard deviation: 0.2399598
# 
#  Skewness: -1.4114364
# 
#  2nd moment: 0.0595648
#  3rd moment: 0.0154146
# 
#  Sum of all values: 6087.3180903
#  (Sum of all values)^2: 1527.8377182
#  (Sum of all values)^3: 395.3852937
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 1
#  Resolution of x-axis: 1000
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# 
# x             F(x)            G(x)            P(x)
# 
0.0000000           0.0000000       1.0000000       0.0000000
0.0010000           0.0000000       1.0000000       0.0000000
0.0020000           0.0000000       1.0000000       0.0000000
0.0030000           0.0001949       0.9998051       0.0001949
0.0040000           0.0008187       0.9991813       0.0006238
0.0050000           0.0010136       0.9989864       0.0001949
0.0060000           0.0016374       0.9983626       0.0006238
0.0070000           0.0021442       0.9978558       0.0005068
0.0080000           0.0024951       0.9975049       0.0003509
0.0090000           0.0027290       0.9972710       0.0002339
0.0100000           0.0027680       0.9972320       0.0000390
0.0110000           0.0029240       0.9970760       0.0001559
0.0120000           0.0031579       0.9968421       0.0002339
0.0130000           0.0035088       0.9964912       0.0003509
0.0140000           0.0035088       0.9964912       0.0000000
0.0150000           0.0035478       0.9964522       0.0000390
0.0160000           0.0037427       0.9962573       0.0001949
0.0170000           0.0040156       0.9959844       0.0002729
0.0180000           0.0042885       0.9957115       0.0002729
0.0190000           0.0045614       0.9954386       0.0002729
0.0200000           0.0047173       0.9952827       0.0001559
0.0210000           0.0049123       0.9950877       0.0001949
0.0220000           0.0055361       0.9944639       0.0006238
0.0230000           0.0066667       0.9933333       0.0011306
0.0240000           0.0070955       0.9929045       0.0004288
0.0250000           0.0072515       0.9927485       0.0001559
0.0260000           0.0074074       0.9925926       0.0001559
0.0270000           0.0077583       0.9922417       0.0003509
0.0280000           0.0081871       0.9918129       0.0004288
0.0290000           0.0082261       0.9917739       0.0000390
0.0300000           0.0084990       0.9915010       0.0002729
0.0310000           0.0088499       0.9911501       0.0003509
0.0320000           0.0091228       0.9908772       0.0002729
0.0330000           0.0092398       0.9907602       0.0001170
0.0340000           0.0093177       0.9906823       0.0000780
0.0350000           0.0096686       0.9903314       0.0003509
0.0360000           0.0102924       0.9897076       0.0006238
0.0370000           0.0109552       0.9890448       0.0006628
0.0380000           0.0115400       0.9884600       0.0005848
0.0390000           0.0119688       0.9880312       0.0004288
0.0400000           0.0123197       0.9876803       0.0003509
0.0410000           0.0125536       0.9874464       0.0002339
0.0420000           0.0129825       0.9870175       0.0004288
0.0430000           0.0136062       0.9863938       0.0006238
0.0440000           0.0143080       0.9856920       0.0007018
0.0450000           0.0148538       0.9851462       0.0005458
0.0460000           0.0153216       0.9846784       0.0004678
0.0470000           0.0159844       0.9840156       0.0006628
0.0480000           0.0169981       0.9830019       0.0010136
0.0490000           0.0177778       0.9822222       0.0007797
0.0500000           0.0188694       0.9811306       0.0010916
0.0510000           0.0194542       0.9805458       0.0005848
0.0520000           0.0206628       0.9793372       0.0012086
0.0530000           0.0213645       0.9786355       0.0007018
0.0540000           0.0225731       0.9774269       0.0012086
0.0550000           0.0231579       0.9768421       0.0005848
0.0560000           0.0238986       0.9761014       0.0007407
0.0570000           0.0244055       0.9755945       0.0005068
0.0580000           0.0248343       0.9751657       0.0004288
0.0590000           0.0250682       0.9749318       0.0002339
0.0600000           0.0252242       0.9747758       0.0001559
0.0610000           0.0253801       0.9746199       0.0001559
0.0620000           0.0253801       0.9746199       0.0000000
0.0630000           0.0253801       0.9746199       0.0000000
0.0640000           0.0253801       0.9746199       0.0000000
0.0650000           0.0253801       0.9746199       0.0000000
0.0660000           0.0253801       0.9746199       0.0000000
0.0670000           0.0255361       0.9744639       0.0001559
0.0680000           0.0256140       0.9743860       0.0000780
0.0690000           0.0259259       0.9740741       0.0003119
0.0700000           0.0262768       0.9737232       0.0003509
0.0710000           0.0265107       0.9734893       0.0002339
0.0720000           0.0270955       0.9729045       0.0005848
0.0730000           0.0274074       0.9725926       0.0003119
0.0740000           0.0277583       0.9722417       0.0003509
0.0750000           0.0279532       0.9720468       0.0001949
0.0760000           0.0281481       0.9718519       0.0001949
0.0770000           0.0290448       0.9709552       0.0008967
0.0780000           0.0299415       0.9700585       0.0008967
0.0790000           0.0304094       0.9695906       0.0004678
0.0800000           0.0315789       0.9684211       0.0011696
0.0810000           0.0320858       0.9679142       0.0005068
0.0820000           0.0325146       0.9674854       0.0004288
0.0830000           0.0331384       0.9668616       0.0006238
0.0840000           0.0339181       0.9660819       0.0007797
0.0850000           0.0347368       0.9652632       0.0008187
0.0860000           0.0358285       0.9641715       0.0010916
0.0870000           0.0366472       0.9633528       0.0008187
0.0880000           0.0372320       0.9627680       0.0005848
0.0890000           0.0379727       0.9620273       0.0007407
0.0900000           0.0383626       0.9616374       0.0003899
0.0910000           0.0389864       0.9610136       0.0006238
0.0920000           0.0394152       0.9605848       0.0004288
0.0930000           0.0402729       0.9597271       0.0008577
