# PROBE TEXT RESULT (THIS IS A MAGIC LINE)
# -------------------------------------
# Text file of data, any style 
# -------------------------------------
#        Name: 
# Description: 
# -------------------------------------
# Fri Nov 20 08:54:38 2009
1.000000	15672000.00
1.000000	14988000.00
2.000000	16752000.00
2.000000	14232000.00
3.000000	15396000.00
3.000000	15780000.00
4.000000	13428000.00
4.000000	18024000.00
5.000000	15588000.00
5.000000	14928000.00
6.000000	13848000.00
6.000000	17148000.00
7.000000	15648000.00
7.000000	15636000.00
8.000000	16500000.00
8.000000	14868000.00
9.000000	13728000.00
9.000000	17016000.00
